Age,Male,Female
0,537530.0,516678.0
1,605747.0,578552.0
2,664933.0,636503.0
3,729210.0,697085.0
4,772537.0,735324.0
5,864061.0,825733.0
6,908523.0,865811.0
7,880215.0,836991.0
8,874570.0,835484.0
9,881225.0,838351.0
10,840851.0,798716.0
11,896701.0,846471.0
12,864698.0,820809.0
13,822113.0,786233.0
14,761369.0,722411.0
15,752175.0,712515.0
16,790056.0,745309.0
17,757895.0,712227.0
18,815658.0,756730.0
19,798984.0,721755.0
20,805159.0,729197.0
21,913099.0,834595.0
22,844041.0,779479.0
23,762007.0,726658.0
24,688859.0,667304.0
25,764848.0,748652.0
26,816151.0,812067.0
27,754110.0,747776.0
28,781436.0,789845.0
29,873207.0,895533.0
30,994449.0,1004853.0
31,1216802.0,1228007.0
32,1231513.0,1267179.0
33,1251776.0,1299290.0
34,1310306.0,1352800.0
35,1361572.0,1409591.0
36,1396789.0,1441149.0
37,1229473.0,1278927.0
38,1234601.0,1309446.0
39,1152044.0,1230392.0
40,1121908.0,1191007.0
41,1323059.0,1362419.0
42,1103194.0,1184192.0
43,1096915.0,1186790.0
44,994274.0,1090232.0
45,1065488.0,1156822.0
46,1089014.0,1176933.0
47,970212.0,1058925.0
48,921013.0,1018007.0
49,928932.0,1028286.0
50,892920.0,989468.0
51,967846.0,1043960.0
52,858440.0,961181.0
53,848859.0,962597.0
54,777180.0,906833.0
55,817621.0,959092.0
56,916344.0,1071717.0
57,833369.0,1015584.0
58,905860.0,1117376.0
59,894412.0,1139400.0
60,924416.0,1191934.0
61,1022374.0,1306197.0
62,910408.0,1221014.0
63,904334.0,1225729.0
64,809111.0,1133269.0
65,841561.0,1181223.0
66,784873.0,1143258.0
67,722091.0,1083659.0
68,638820.0,991324.0
69,634032.0,1003467.0
70,565576.0,932027.0
71,588915.0,957387.0
72,528349.0,927634.0
73,390978.0,698763.0
74,382925.0,722993.0
75,294314.0,560690.0
76,203071.0,376518.0
77,124865.0,258959.0
78,117810.0,250840.0
79,169277.0,406962.0
80,199003.0,512377.0
81,207210.0,541267.0
82,195647.0,548785.0
83,163860.0,479991.0
84,142750.0,425115.0
85,104450.0,315394.0
86,78794.0,242681.0
87,49527.0,164500.0
88,43102.0,149210.0
89,44484.0,161228.0
90,29567.0,109170.0
91,26423.0,100158.0
92,17854.0,74331.0
93,14081.0,60735.0
94,9988.0,42822.0
95,6958.0,31281.0
96,4605.0,21321.0
97,2688.0,13987.0
98,1871.0,9071.0
99,1174.0,5238.0
